id,title,overview,genres,vote_average,vote_count,release_date,original_language,popularity,adult,runtime,budget,revenue,cast,director,keywords,poster_url
310307,The Founder,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.","['Drama', 'History']",7.1,5041,2016-11-24,en,8.2248,False,115,15000000,24121245,"['Michael Keaton', 'Nick Offerman', 'John Carroll Lynch', 'Linda Cardellini', 'B.J. Novak']",John Lee Hancock,"['greed', 'ambition', 'biography', 'family business ', 'based on true story', 'salesman', 'corporate greed', 'fast food', 'corporate power', 'franchise', '1950s', 'burger', ""mcdonald's""]",https://image.tmdb.org/t/p/w500/8gLIksu5ggdfBL1UbeTeonHquxl.jpg
28468,The Key,"Art professor Nino Rolfe attempts to break down his wife Teresa's conventional modesty. Noticing her affection for their daughter's fiancé, Nino instigates her sexual interest in him - setting off a chain of unexpected events and emotional complications...","['Drama', 'Romance']",5.969,413,1983-10-19,it,8.2171,False,110,0,0,"['Stefania Sandrelli', 'Frank Finlay', 'Franco Branciaroli', 'Barbara Cupisti', 'Armando Marra']",Tinto Brass,"['infidelity', 'jealousy', 'husband wife relationship', 'sexual obsession', 'obsession', 'key', 'fascism', 'diary', 'perversion', 'sexploitation', 'photograph', 'older man younger woman relationship', 'lust', 'desire', 'extramarital affair', 'obsessive love', 'cuckold', 'exhibitionism', 'erotic movie']",https://image.tmdb.org/t/p/w500/e6g2geNLgFzMbriH6EvSJZD78nx.jpg
591,The Da Vinci Code,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.","['Thriller', 'Mystery']",6.724,9469,2006-05-17,en,8.2164,False,149,125000000,760006945,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Jean Reno', 'Paul Bettany']",Ron Howard,"['paris, france', 'based on novel or book', 'holy grail', 'christianity', 'monk', 'secret society', 'louvre museum', 'heresy', 'mona lisa (la gioconda)', 'freemason', 'pentagram', 'conspiracy', 'tomb', 'catholicism', 'cryptologist', 'iconography', 'albino', 'sect']",https://image.tmdb.org/t/p/w500/9ejKfNk0LBhSI9AahH4f9NJNZNM.jpg
10096,13 Going on 30,"A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old, but adulthood, with its own set of male-female challenges, isn't as easy as it looks.","['Comedy', 'Fantasy', 'Romance']",6.756,5226,2004-04-13,en,8.1987,False,98,37000000,96500000,"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer', 'Andy Serkis', 'Kathy Baker']",Gary Winick,"['new york city', 'photographer', 'editor-in-chief', 'time travel', 'wish', 'beautiful woman', 'child as an adult', 'friends in love', 'age change', 'teenager', 'time jump', 'adult']",https://image.tmdb.org/t/p/w500/iNZdSIfhSCMtRILDNyhLn8UKeSG.jpg
838209,Exhuma,"After tracing the origin of a disturbing supernatural affliction to a wealthy family's ancestral gravesite, a team of paranormal experts relocates the remains—and soon discovers what happens to those who dare to mess with the wrong grave.","['Mystery', 'Horror', 'Thriller']",7.549,490,2024-02-22,ko,8.1976,False,134,0,97974828,"['Choi Min-sik', 'Kim Go-eun', 'Yoo Hai-jin', 'Lee Do-hyun', 'Kim Jae-chul']",Jang Jae-hyun,"['ritual', 'coffin', 'exorcism', 'grave', 'curse', 'shaman', 'undertaker', 'illness', 'tomb', 'occult', 'ghost', 'grave digging', 'ancestor', 'vexed', 'shamanism', 'japanese occupation of korea', 'evil spirits', 'distressing']",https://image.tmdb.org/t/p/w500/6dasJ58GGFcC62H9KuukAryltUp.jpg
955555,The Roundup: No Way Out,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.","['Action', 'Crime', 'Comedy', 'Thriller', 'Drama']",7.2,462,2023-05-31,ko,8.1921,False,105,0,83410298,"['Don Lee', 'Lee Jun-hyuk', 'Munetaka Aoki', 'Lee Beom-soo', 'Kim Min-jae']",Lee Sang-yong,"['drug crime', 'police', 'detective', 'sequel', 'incheon', 'egotistical', 'bold', 'celebratory']",https://image.tmdb.org/t/p/w500/lW6IHrtaATxDKYVYoQGU5sh0OVm.jpg
51739,The Secret World of Arrietty,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.","['Fantasy', 'Animation', 'Family']",7.665,2901,2010-07-16,ja,8.186,False,94,23000000,149660003,"['Mirai Shida', 'Ryunosuke Kamiki', 'Tomokazu Miura', 'Keiko Takeshita', 'Kirin Kiki']",Hiromasa Yonebayashi,"['based on novel or book', 'cat', 'forest', ""based on children's book"", 'little people', 'dollhouse', 'nostalgic', 'anime']",https://image.tmdb.org/t/p/w500/3lSRaSjDp2nkXMQkzzjpRi3035O.jpg
94329,The Raid,"Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.","['Action', 'Thriller', 'Crime']",7.401,3533,2012-03-22,id,8.174,False,101,1100000,9148519,"['Iko Uwais', 'Joe Taslim', 'Donny Alamsyah', 'Yayan Ruhian', 'Pierre Gruno']",Gareth Evans,"['martial arts', 'crime boss', 'tenement', 'high rise', 'monitor', 'tower block', 'jakarta indonesia', 'swat', 'aggressive', 'powerful']",https://image.tmdb.org/t/p/w500/Abnm1Ws3JH0ReCfEhLMPwPcMcGO.jpg
1267,Meet the Robinsons,"Lewis, a brilliant young inventor, is keen on creating a time machine to find his mother, who abandoned him in an orphanage. Things take a turn when he meets Wilbur Robinson and his family.","['Animation', 'Comedy', 'Family']",6.9,2922,2007-03-23,en,8.174,False,95,150000000,169332978,"['Daniel Hansen', 'Jordan Fry', 'Wesley Singerman', 'Matthew Josten', 'Stephen J. Anderson']",Stephen J. Anderson,"['future', 'friendship', 'flying car', 'saving the world', 'based on novel or book', 'tyrannosaurus rex', 'adoption', 'villain', 'time travel', 'time machine', 'mythical creature', 'best friend', 'rescue team', 'family', 'angry', 'introspective', 'witty', 'amused', 'appreciative', 'hopeful']",https://image.tmdb.org/t/p/w500/naya0zF4kT401Sx15AtwB9vpcJr.jpg
82675,Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","['Action', 'Crime', 'Thriller']",6.361,6746,2012-09-27,en,8.1709,False,91,45000000,376100000,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Leland Orser', 'D. B. Sweeney']",Olivier Megaton,"['kidnapping', 'fbi', 'turkey', 'police chase', 'teenage daughter', 'stealing a car', 'ex-husband ex-wife relationship', 'albanian', 'u.s. embassy', 'aggressive', 'furious']",https://image.tmdb.org/t/p/w500/mGRtQS39DYIu6gXu5mXQsXFGZPO.jpg
